# image: /Users/leolu/Desktop/VScode/26-S-Lockheed-1/data/wsMedian.png
# artifact_detected: True
# n_points: 717
# n_rejected: 3
# affected_edges: bottom,left,right,top
x,y
1058.0,483.0
1058.0,486.0
1058.0,490.0
1058.0,493.0
1055.0,497.0
1051.0,500.0
1049.0,504.0
1048.0,507.0
1046.0,511.0
1043.0,514.0
1042.0,518.0
1040.0,521.0
1036.0,524.0
1034.0,527.0
1032.0,531.0
1031.0,534.0
1031.0,537.0
1030.0,541.0
1030.0,544.0
1029.0,548.0
1029.0,551.0
1028.0,555.0
1250.0,601.0
1251.0,607.0
1253.0,613.0
1253.0,619.0
1254.0,624.0
1254.0,630.0
1254.0,636.0
1253.0,641.0
1252.0,647.0
1250.0,652.0
1249.0,657.0
1248.0,663.0
1247.0,668.0
1250.0,675.0
1248.0,680.0
1249.0,687.0
1248.0,692.0
1246.0,697.0
1244.0,703.0
1242.0,708.0
1241.0,713.0
1239.0,719.0
1237.0,724.0
1235.0,729.0
1233.0,735.0
1231.0,740.0
1229.0,745.0
1226.0,750.0
1224.0,755.0
1222.0,761.0
1221.0,766.0
1218.0,771.0
1216.0,776.0
1214.0,781.0
1265.0,815.0
1262.0,821.0
1260.0,826.0
1257.0,832.0
1254.0,837.0
1251.0,843.0
1248.0,848.0
1245.0,853.0
1242.0,859.0
1238.0,864.0
1235.0,869.0
1232.0,874.0
1228.0,880.0
1225.0,885.0
1222.0,890.0
1219.0,896.0
1216.0,901.0
1212.0,906.0
1209.0,911.0
1205.0,916.0
1201.0,921.0
1197.0,926.0
1193.0,931.0
1189.0,936.0
1185.0,941.0
1179.0,943.0
1134.0,913.0
1130.0,917.0
1126.0,921.0
1122.0,925.0
1118.0,929.0
1114.0,933.0
1110.0,936.0
1105.0,940.0
1100.0,943.0
1093.0,944.0
1088.0,946.0
1080.0,947.0
1060.0,934.0
1056.0,937.0
1052.0,941.0
1048.0,944.0
1043.0,947.0
1038.0,949.0
1024.0,941.0
1015.0,938.0
1009.0,938.0
1005.0,941.0
1000.0,943.0
993.0,943.0
936.0,876.0
932.0,878.0
928.0,880.0
924.0,881.0
919.0,882.0
914.0,882.0
908.0,881.0
903.0,880.0
896.0,878.0
891.0,877.0
886.0,877.0
883.0,879.0
879.0,881.0
876.0,883.0
872.0,885.0
869.0,887.0
865.0,889.0
861.0,891.0
863.0,903.0
860.0,905.0
856.0,907.0
852.0,909.0
848.0,911.0
845.0,913.0
841.0,914.0
837.0,916.0
833.0,917.0
829.0,918.0
824.0,918.0
820.0,919.0
816.0,920.0
812.0,922.0
809.0,923.0
805.0,924.0
801.0,925.0
797.0,926.0
793.0,927.0
789.0,928.0
785.0,929.0
781.0,930.0
777.0,931.0
772.0,930.0
767.0,928.0
763.0,928.0
759.0,929.0
755.0,930.0
751.0,931.0
747.0,932.0
743.0,933.0
739.0,934.0
736.0,934.0
732.0,935.0
728.0,936.0
724.0,936.0
720.0,937.0
716.0,938.0
712.0,938.0
708.0,939.0
704.0,940.0
700.0,940.0
696.0,941.0
692.0,941.0
688.0,941.0
684.0,942.0
680.0,942.0
676.0,942.0
672.0,942.0
668.0,943.0
664.0,943.0
660.0,943.0
656.0,943.0
652.0,944.0
648.0,944.0
644.0,944.0
640.0,943.0
635.0,943.0
631.0,942.0
627.0,941.0
623.0,941.0
619.0,941.0
615.0,941.0
611.0,941.0
607.0,940.0
603.0,940.0
599.0,940.0
596.0,939.0
592.0,939.0
588.0,938.0
584.0,937.0
580.0,937.0
576.0,936.0
572.0,937.0
568.0,936.0
564.0,936.0
560.0,935.0
556.0,934.0
552.0,934.0
548.0,933.0
544.0,932.0
540.0,932.0
536.0,932.0
531.0,935.0
527.0,934.0
523.0,934.0
519.0,933.0
515.0,932.0
511.0,931.0
507.0,930.0
503.0,930.0
499.0,929.0
495.0,929.0
490.0,928.0
487.0,927.0
483.0,925.0
479.0,924.0
475.0,923.0
471.0,922.0
467.0,921.0
463.0,920.0
459.0,918.0
455.0,917.0
451.0,917.0
447.0,916.0
442.0,915.0
438.0,915.0
434.0,914.0
430.0,912.0
426.0,910.0
423.0,908.0
419.0,906.0
414.0,907.0
409.0,907.0
405.0,906.0
401.0,904.0
397.0,902.0
394.0,900.0
390.0,898.0
386.0,895.0
383.0,893.0
379.0,891.0
376.0,889.0
372.0,886.0
368.0,885.0
364.0,884.0
359.0,882.0
355.0,881.0
351.0,880.0
346.0,879.0
342.0,877.0
338.0,875.0
286.0,935.0
280.0,935.0
275.0,932.0
271.0,929.0
266.0,927.0
262.0,925.0
258.0,922.0
230.0,945.0
223.0,945.0
217.0,944.0
211.0,942.0
206.0,939.0
202.0,935.0
198.0,932.0
182.0,940.0
175.0,939.0
170.0,936.0
165.0,932.0
162.0,928.0
158.0,924.0
154.0,920.0
150.0,916.0
146.0,911.0
143.0,907.0
139.0,902.0
136.0,898.0
132.0,893.0
129.0,888.0
126.0,884.0
123.0,879.0
120.0,874.0
116.0,870.0
113.0,865.0
110.0,860.0
107.0,856.0
103.0,851.0
100.0,846.0
97.0,841.0
94.0,837.0
91.0,832.0
88.0,827.0
85.0,822.0
82.0,817.0
79.0,813.0
75.0,808.0
72.0,804.0
68.0,799.0
65.0,795.0
61.0,790.0
58.0,785.0
55.0,780.0
53.0,775.0
50.0,770.0
48.0,765.0
45.0,760.0
43.0,754.0
41.0,749.0
39.0,744.0
38.0,738.0
37.0,732.0
36.0,726.0
34.0,721.0
32.0,716.0
32.0,710.0
31.0,704.0
29.0,699.0
27.0,693.0
26.0,688.0
24.0,682.0
23.0,677.0
21.0,672.0
20.0,666.0
19.0,661.0
17.0,655.0
16.0,650.0
15.0,644.0
16.0,638.0
21.0,631.0
22.0,625.0
21.0,620.0
21.0,614.0
20.0,609.0
19.0,603.0
19.0,597.0
18.0,592.0
17.0,587.0
16.0,581.0
17.0,576.0
17.0,570.0
32.0,563.0
31.0,557.0
32.0,552.0
222.0,526.0
221.0,523.0
221.0,519.0
221.0,515.0
220.0,512.0
220.0,508.0
220.0,504.0
220.0,501.0
218.0,497.0
217.0,494.0
214.0,490.0
212.0,486.0
211.0,483.0
210.0,479.0
209.0,475.0
206.0,471.0
205.0,467.0
194.0,463.0
192.0,459.0
185.0,455.0
180.0,450.0
180.0,446.0
87.0,434.0
86.0,429.0
86.0,424.0
88.0,420.0
163.0,424.0
163.0,420.0
25.0,391.0
26.0,385.0
27.0,380.0
28.0,375.0
25.0,369.0
26.0,363.0
27.0,358.0
32.0,353.0
143.0,372.0
144.0,368.0
145.0,364.0
144.0,359.0
144.0,354.0
29.0,319.0
30.0,314.0
32.0,308.0
33.0,303.0
35.0,298.0
36.0,292.0
38.0,287.0
39.0,282.0
13.0,267.0
14.0,261.0
15.0,255.0
17.0,250.0
19.0,244.0
21.0,239.0
23.0,233.0
25.0,228.0
27.0,223.0
30.0,217.0
32.0,212.0
34.0,207.0
37.0,201.0
39.0,196.0
42.0,191.0
44.0,186.0
47.0,180.0
49.0,175.0
17.0,151.0
16.0,144.0
14.0,136.0
16.0,130.0
19.0,124.0
21.0,118.0
24.0,113.0
28.0,107.0
31.0,102.0
34.0,97.0
37.0,91.0
40.0,86.0
44.0,81.0
47.0,75.0
51.0,70.0
54.0,65.0
58.0,60.0
62.0,55.0
65.0,50.0
69.0,45.0
73.0,40.0
77.0,35.0
81.0,30.0
89.0,29.0
96.0,27.0
104.0,25.0
140.0,48.0
144.0,44.0
148.0,40.0
152.0,35.0
156.0,31.0
160.0,27.0
164.0,23.0
169.0,21.0
176.0,19.0
182.0,17.0
191.0,18.0
200.0,20.0
208.0,19.0
215.0,19.0
221.0,17.0
229.0,18.0
235.0,17.0
240.0,15.0
245.0,12.0
252.0,13.0
260.0,14.0
284.0,36.0
289.0,34.0
293.0,31.0
297.0,28.0
301.0,25.0
309.0,27.0
313.0,25.0
318.0,23.0
323.0,22.0
330.0,24.0
336.0,25.0
342.0,24.0
375.0,67.0
379.0,65.0
383.0,64.0
386.0,61.0
390.0,59.0
394.0,58.0
398.0,56.0
402.0,54.0
406.0,53.0
410.0,51.0
414.0,49.0
418.0,48.0
422.0,46.0
426.0,45.0
430.0,44.0
434.0,42.0
438.0,40.0
442.0,39.0
446.0,38.0
450.0,36.0
454.0,36.0
458.0,34.0
462.0,33.0
466.0,32.0
471.0,31.0
475.0,29.0
479.0,28.0
483.0,27.0
487.0,26.0
491.0,25.0
495.0,23.0
499.0,22.0
503.0,21.0
507.0,20.0
511.0,19.0
515.0,18.0
519.0,17.0
523.0,16.0
528.0,16.0
532.0,15.0
536.0,14.0
540.0,14.0
544.0,13.0
548.0,13.0
552.0,12.0
557.0,12.0
561.0,12.0
565.0,12.0
569.0,11.0
573.0,11.0
577.0,11.0
582.0,10.0
586.0,10.0
590.0,10.0
594.0,10.0
598.0,10.0
602.0,10.0
606.0,10.0
611.0,10.0
615.0,10.0
619.0,10.0
623.0,10.0
627.0,9.0
631.0,9.0
635.0,9.0
639.0,9.0
644.0,9.0
648.0,9.0
652.0,9.0
656.0,10.0
660.0,10.0
664.0,10.0
668.0,10.0
673.0,10.0
677.0,10.0
681.0,10.0
685.0,10.0
689.0,10.0
693.0,10.0
697.0,10.0
702.0,10.0
706.0,10.0
710.0,11.0
714.0,11.0
718.0,11.0
723.0,11.0
727.0,12.0
731.0,12.0
735.0,12.0
739.0,13.0
744.0,13.0
748.0,14.0
752.0,14.0
756.0,15.0
760.0,16.0
765.0,16.0
769.0,17.0
773.0,18.0
777.0,19.0
781.0,20.0
785.0,21.0
789.0,22.0
793.0,24.0
797.0,25.0
801.0,26.0
805.0,27.0
810.0,28.0
814.0,29.0
818.0,30.0
822.0,31.0
826.0,32.0
830.0,33.0
834.0,34.0
839.0,35.0
843.0,37.0
847.0,38.0
851.0,39.0
855.0,41.0
859.0,43.0
863.0,45.0
867.0,46.0
871.0,47.0
875.0,49.0
879.0,51.0
883.0,53.0
887.0,54.0
891.0,56.0
895.0,57.0
899.0,58.0
927.0,39.0
944.0,22.0
948.0,24.0
961.0,15.0
966.0,16.0
971.0,18.0
975.0,21.0
979.0,24.0
983.0,27.0
987.0,30.0
991.0,33.0
995.0,36.0
999.0,38.0
1004.0,41.0
1008.0,43.0
1037.0,17.0
1044.0,18.0
1050.0,18.0
1056.0,20.0
1062.0,21.0
1070.0,21.0
1077.0,21.0
